segment_id,filename,image_panoid,date,query_counter,lat,lon,geometry,years_since_today,name,length,bearing
105963734-105963747,img_105963734-105963747_h0_002.png,LJEfLAvHx1UyJ0oEA8yuDw,2023-05-01,2.0,40.44285881715561,-79.99685782804568,POINT (409405.66419953725 125620.91308688252),0.89,Liberty Avenue,66.008,71.1
105012363-106056465,img_105012363-106056465_h1_013.png,LJEfLAvHx1UyJ0oEA8yuDw,2023-05-01,25.0,40.44285881715561,-79.99685782804568,POINT (409405.66419953725 125620.91308688252),0.89,Seventh Avenue,94.592,295.7
105012363-106056465,img_105012363-106056465_h1_011.png,li6apwUeeUqcVCloCx_Z1Q,2023-05-01,19.0,40.44283693422631,-79.996801854203,POINT (409410.3494581351 125618.36322035271),0.89,Seventh Avenue,94.592,295.7
104572618-106056465,img_104572618-106056465_h0_020.png,li6apwUeeUqcVCloCx_Z1Q,2023-05-01,70.0,40.44283693422631,-79.996801854203,POINT (409410.3494581351 125618.36322035271),0.89,Smithfield Street,171.734,27.3
105012363-106056465,img_105012363-106056465_h0_010.png,li6apwUeeUqcVCloCx_Z1Q,2023-05-01,18.0,40.44283693422631,-79.996801854203,POINT (409410.3494581351 125618.36322035271),0.89,Seventh Avenue,94.592,295.7
104572618-106056465,img_104572618-106056465_h1_021.png,li6apwUeeUqcVCloCx_Z1Q,2023-05-01,71.0,40.44283693422631,-79.996801854203,POINT (409410.3494581351 125618.36322035271),0.89,Smithfield Street,171.734,27.3
105963734-106056465,img_105963734-106056465_h1_003.png,LJEfLAvHx1UyJ0oEA8yuDw,2023-05-01,3.0,40.44285881715561,-79.99685782804568,POINT (409405.66419953725 125620.91308688252),0.89,Seventh Avenue,55.31300000000001,122.8
105963734-105963747,img_105963734-105963747_h1_013.png,Sy3LQulsp7gpmqmpeAhipw,2023-04-01,33.0,40.44286149771777,-79.99679050584331,POINT (409411.38128338096 125621.0653433383),0.97,Liberty Avenue,66.008,71.1
105963734-105963747,img_105963734-105963747_h0_012.png,Sy3LQulsp7gpmqmpeAhipw,2023-04-01,32.0,40.44286149771777,-79.99679050584331,POINT (409411.38128338096 125621.0653433383),0.97,Liberty Avenue,66.008,71.1
105963747-106056465,img_105963747-106056465_h0_006.png,Sy3LQulsp7gpmqmpeAhipw,2023-04-01,20.0,40.44286149771777,-79.99679050584331,POINT (409411.38128338096 125621.0653433383),0.97,Smithfield Street,54.862,18.7
104633450-105963747,img_104633450-105963747_h0_014.png,Sy3LQulsp7gpmqmpeAhipw,2023-04-01,52.0,40.44286149771777,-79.99679050584331,POINT (409411.38128338096 125621.0653433383),0.97,Liberty Avenue,121.27199999999999,250.6
105963747-106056465,img_105963747-106056465_h1_007.png,Sy3LQulsp7gpmqmpeAhipw,2023-04-01,21.0,40.44286149771777,-79.99679050584331,POINT (409411.38128338096 125621.0653433383),0.97,Smithfield Street,54.862,18.7
104878620-105963734,img_104878620-105963734_h1_001.png,QfnIKA1obdlrfrQ0O5_ORQ,2023-07-01,1.0,40.44280760308908,-79.99848472276207,POINT (409267.544547083 125618.74063944221),0.72,Liberty Avenue,57.915,71.4
104878620-105963734,img_104878620-105963734_h0_000.png,QfnIKA1obdlrfrQ0O5_ORQ,2023-07-01,0.0,40.44280760308908,-79.99848472276207,POINT (409267.544547083 125618.74063944221),0.72,Liberty Avenue,57.915,71.4
104878620-105963734,img_104878620-105963734_h0_002.png,LtmOeXxWjc7lUtlXwgsiHQ,2023-07-01,4.0,40.44283794287036,-79.9983691081825,POINT (409277.4354395502 125621.85874136376),0.72,Liberty Avenue,57.915,71.4
104878620-105963734,img_104878620-105963734_h1_003.png,LtmOeXxWjc7lUtlXwgsiHQ,2023-07-01,5.0,40.44283794287036,-79.9983691081825,POINT (409277.4354395502 125621.85874136376),0.72,Liberty Avenue,57.915,71.4
104878620-105963734,img_104878620-105963734_h1_005.png,-2teMtZrQv2HFS1bhimVaA,2023-07-01,9.0,40.44286985532948,-79.99824769137739,POINT (409287.82284800557 125625.13889763581),0.72,Liberty Avenue,57.915,71.4
104878602-104878620,img_104878602-104878620_h0_008.png,-2teMtZrQv2HFS1bhimVaA,2023-07-01,20.0,40.44286985532948,-79.99824769137739,POINT (409287.82284800557 125625.13889763581),0.72,9th Street,98.129,160.6
104878602-104878620,img_104878602-104878620_h1_009.png,-2teMtZrQv2HFS1bhimVaA,2023-07-01,21.0,40.44286985532948,-79.99824769137739,POINT (409287.82284800557 125625.13889763581),0.72,9th Street,98.129,160.6
104878620-105963734,img_104878620-105963734_h0_004.png,-2teMtZrQv2HFS1bhimVaA,2023-07-01,8.0,40.44286985532948,-79.99824769137739,POINT (409287.82284800557 125625.13889763581),0.72,Liberty Avenue,57.915,71.4
104878620-105963734,img_104878620-105963734_h1_007.png,HOsCvCIAFeF43-Yf4c303w,2023-07-01,13.0,40.44290038109017,-79.99813156453452,POINT (409297.75769307703 125628.27656438801),0.72,Liberty Avenue,57.915,71.4
104878620-105963734,img_104878620-105963734_h0_006.png,HOsCvCIAFeF43-Yf4c303w,2023-07-01,12.0,40.44290038109017,-79.99813156453452,POINT (409297.75769307703 125628.27656438801),0.72,Liberty Avenue,57.915,71.4
105963734-105963747,img_105963734-105963747_h0_010.png,MvRMTrpyiMU_cSXMdGibiw,2023-05-01,28.0,40.44291132667914,-79.9969941788105,POINT (409394.24879904464 125627.03606917112),0.89,Liberty Avenue,66.008,71.1
105012363-106056465,img_105012363-106056465_h1_015.png,MvRMTrpyiMU_cSXMdGibiw,2023-05-01,29.0,40.44291132667914,-79.9969941788105,POINT (409394.24879904464 125627.03606917112),0.89,Seventh Avenue,94.592,295.7
105012363-106056465,img_105012363-106056465_h0_014.png,MvRMTrpyiMU_cSXMdGibiw,2023-05-01,28.0,40.44291132667914,-79.9969941788105,POINT (409394.24879904464 125627.03606917112),0.89,Seventh Avenue,94.592,295.7
105963734-105963747,img_105963734-105963747_h1_011.png,MvRMTrpyiMU_cSXMdGibiw,2023-05-01,29.0,40.44291132667914,-79.9969941788105,POINT (409394.24879904464 125627.03606917112),0.89,Liberty Avenue,66.008,71.1
105963747-106056465,img_105963747-106056465_h0_004.png,dzRnghcxxDRPKzozO0WfkQ,2023-05-01,10.0,40.44294965721144,-79.99709674038387,POINT (409385.6589745329 125631.51223002802),0.89,Smithfield Street,54.862,18.7
104572618-106056465,img_104572618-106056465_h0_016.png,dzRnghcxxDRPKzozO0WfkQ,2023-05-01,56.0,40.44294965721144,-79.99709674038387,POINT (409385.6589745329 125631.51223002802),0.89,Smithfield Street,171.734,27.3
105963747-106056465,img_105963747-106056465_h1_005.png,dzRnghcxxDRPKzozO0WfkQ,2023-05-01,11.0,40.44294965721144,-79.99709674038387,POINT (409385.6589745329 125631.51223002802),0.89,Smithfield Street,54.862,18.7
104572618-106056465,img_104572618-106056465_h1_017.png,dzRnghcxxDRPKzozO0WfkQ,2023-05-01,57.0,40.44294965721144,-79.99709674038387,POINT (409385.6589745329 125631.51223002802),0.89,Smithfield Street,171.734,27.3
105012363-106056465,img_105012363-106056465_h1_017.png,dzRnghcxxDRPKzozO0WfkQ,2023-05-01,33.0,40.44294965721144,-79.99709674038387,POINT (409385.6589745329 125631.51223002802),0.89,Seventh Avenue,94.592,295.7
105012363-106056465,img_105012363-106056465_h0_016.png,dzRnghcxxDRPKzozO0WfkQ,2023-05-01,32.0,40.44294965721144,-79.99709674038387,POINT (409385.6589745329 125631.51223002802),0.89,Seventh Avenue,94.592,295.7
