104197837-271197326|h1_009|0|0.9183|74265.74|399.3403|279.4324|639.5289|588.6301|truck
104197837-271197326|h1_007|0|0.9593|88640.84|18.959|391.8408|430.2413|607.3639|car
104197837-271197326|h1_013|0|0.9095|84736.62|0.5696|189.2771|253.1547|524.7546|truck
104197837-271197326|h1_013|1|0.7939|1912.87|369.3296|338.6563|401.4716|398.1696|person
104197837-271197326|h1_013|2|0.7383|1495.24|289.6362|329.1837|316.0912|385.704|person
104197837-271197326|h1_013|3|0.7369|1440.05|618.2334|348.5532|639.7551|415.4647|person
104197837-271197326|h1_013|4|0.7278|845.73|272.0386|337.7795|289.2936|386.7932|person
104197837-271197326|h1_013|5|0.6938|990.27|256.0863|335.2408|273.2148|393.0547|person
104197837-271197326|h1_013|6|0.6882|1809.89|541.4875|344.7186|567.3894|414.5935|person
104197837-271197326|h1_013|7|0.657|1490.5|436.2749|336.7171|462.4215|393.7225|person
104197837-271197326|h1_013|8|0.6444|1775.87|184.241|322.8388|203.864|413.3383|bottle
104197837-271197326|h1_013|9|0.6345|1784.59|598.4119|351.545|625.4189|417.6236|person
104197837-271197326|h1_013|10|0.6217|709.52|357.545|329.2853|370.803|382.8022|person
104197837-271197326|h1_013|11|0.5846|1375.53|525.11|350.6998|547.338|412.5827|person
104197837-271197326|h1_013|12|0.5551|661.76|303.1562|347.5684|318.3199|391.2097|person
104197837-271197326|h1_013|13|0.5533|573.54|368.7546|331.6936|380.915|378.8578|person
104197837-271197326|h1_013|14|0.5463|1364.41|200.4159|320.6895|216.2892|406.6458|bottle
104197837-271197326|h1_013|15|0.5298|644.09|422.586|332.9274|436.9341|377.8177|person
104197837-271197326|h1_013|16|0.5078|1979.56|493.6999|339.5293|522.253|408.8585|person
104197837-271197326|h1_013|17|0.4974|781.73|473.5447|337.8825|490.4635|384.0872|person
104197837-271197326|h1_013|18|0.4874|701.09|402.008|331.7579|416.6499|379.6401|person
104197837-271197326|h1_013|19|0.4677|1185.29|213.5603|322.2125|229.1868|398.0638|bottle
104197837-271197326|h1_013|20|0.4549|916.8|390.5907|332.8873|407.4512|387.2629|person
104197837-271197326|h0_014|0|0.9265|13209.85|456.4757|360.1147|639.788|432.1767|car
104197837-271197326|h0_014|1|0.8637|1985.94|2.2747|345.8947|31.8704|412.997|person
104197837-271197326|h0_014|2|0.796|965.67|405.1268|336.8552|447.7615|359.5051|car
104197837-271197326|h0_014|3|0.7057|2930.98|200.3272|336.5023|260.7038|385.0472|car
104197837-271197326|h0_014|4|0.5485|413.61|263.6605|332.1616|283.8542|352.6436|car
104197837-271197326|h0_014|5|0.5153|140.94|291.0924|325.0146|304.5578|335.4816|car
104197837-271197326|h0_014|6|0.3558|283.46|0.0|343.9302|6.2308|389.4233|person
104197837-271197326|h0_014|7|0.309|789.48|251.441|339.3976|276.7302|370.6157|car
104197837-271197326|h1_011|0|0.7741|41510.9|495.8403|182.7422|637.4993|475.7762|bottle
104197837-271197326|h1_011|1|0.5578|76926.85|0.3962|434.4858|638.7784|554.9886|truck
104197837-271197326|h1_015|0|0.9191|5184.98|189.9321|344.0195|288.815|396.455|car
104197837-271197326|h1_015|1|0.9018|7694.96|0.0396|293.7399|123.2073|356.2154|truck
104197837-271197326|h1_015|2|0.7966|1084.07|576.8634|342.0476|597.1354|395.5239|person
104197837-271197326|h1_015|3|0.7326|1740.93|463.517|336.9175|493.9185|394.1823|person
104197837-271197326|h1_015|4|0.6802|1650.4|618.618|357.166|639.7317|435.3337|person
104197837-271197326|h1_015|5|0.5835|225.8|205.7124|324.3646|215.248|348.0437|person
104197837-271197326|h1_015|6|0.494|702.67|10.1823|286.5752|24.6835|335.0306|bottle
104197837-271197326|h1_015|7|0.4789|212.36|269.1543|326.4799|278.0769|350.2803|person
104197837-271197326|h1_015|8|0.4416|285.25|289.5086|325.1704|300.1447|351.9893|person
104197837-271197326|h1_015|9|0.4149|208.32|163.9474|320.6932|173.0339|343.6194|person
104197837-271197326|h1_015|10|0.4011|180.57|282.203|328.329|290.2334|350.8145|person
104197837-271197326|h1_015|11|0.4009|3496.08|591.7805|283.6284|639.7114|356.5685|train
104197837-271197326|h1_015|12|0.3989|245.24|305.3089|328.9836|316.4084|351.0786|person
104197837-271197326|h1_015|13|0.3401|206.55|259.8073|325.9135|269.1938|347.9183|person
104197837-271197326|h1_015|14|0.3383|176.47|227.8037|325.1613|236.7971|344.7839|person
104197837-271197326|h1_015|15|0.3103|140.66|146.006|325.237|155.024|340.8344|person
104197837-271197326|h1_015|16|0.305|148.79|176.1743|319.0659|183.1962|340.2549|person
104197837-271197326|h1_015|17|0.3023|243.57|341.7517|325.541|351.4708|350.6016|person
104197837-271197326|h1_015|18|0.2998|451.0|0.0387|294.1388|11.5122|333.447|bottle
104197837-271197326|h1_015|19|0.2604|617.23|620.7333|368.3077|639.7196|400.8168|handbag
104197837-271197326|h0_010|0|0.4548|853.69|623.0397|403.5087|639.6991|454.7522|car
104197837-271197326|h0_010|1|0.3426|938.91|31.3024|330.8747|79.2647|350.4507|car
104197837-271197326|h0_010|2|0.3414|98.74|120.3834|328.3869|133.6641|335.822|car
104197837-271197326|h0_012|0|0.8819|2728.41|31.2204|341.5191|115.9919|373.7046|car
104197837-271197326|h0_012|1|0.7596|934.03|129.9828|330.2459|174.769|351.1012|car
104197837-271197326|h0_012|2|0.6649|382.18|179.6299|328.3387|205.5906|343.0603|car
104197837-271197326|h0_012|3|0.5771|207.44|40.8991|329.7932|49.7852|353.1373|person
104197837-271197326|h0_012|4|0.5378|226.07|274.0361|331.8853|291.9466|344.5074|car
104197837-271197326|h0_012|5|0.3646|90.89|243.0046|325.4736|254.8318|333.1588|car
104197837-271197326|h1_003|0|0.7255|1373.7|277.1789|342.5233|318.5222|375.7498|person
104197837-271197326|h1_003|1|0.2561|2669.73|213.475|324.1635|263.9745|377.0299|person
104197837-684996041|h1_009|0|0.8294|1111.49|543.5045|394.8103|595.0811|416.3605|car
104197837-684996041|h1_009|1|0.8183|15047.47|0.0106|321.9647|159.5597|416.2772|car
104197837-684996041|h1_009|2|0.7659|635.31|473.3287|371.592|518.7244|385.5869|car
104197837-684996041|h1_009|3|0.7158|988.52|224.2212|333.3845|259.1425|361.6916|car
104197837-684996041|h1_009|4|0.6444|284.18|512.743|353.3996|540.2465|363.7322|car
104197837-684996041|h1_009|5|0.5359|755.68|551.9631|379.9243|595.2014|397.4014|car
104197837-684996041|h1_009|6|0.5315|102.86|227.2129|317.9886|239.9151|326.0864|car
104197837-684996041|h1_009|7|0.3|87.4|390.0754|337.9232|404.3849|344.031|car
104197837-684996041|h1_001|0|0.3496|370.89|592.6566|346.2942|609.2245|368.6803|person
104197837-684996041|h1_001|1|0.3464|802.2|541.7197|330.3936|562.1582|369.6429|person
104197837-684996041|h0_004|0|0.8533|1199.95|210.565|333.7829|248.8183|365.1514|car
104197837-684996041|h0_004|1|0.7886|232.02|486.8168|332.0497|509.5046|342.2761|car
104197837-684996041|h0_004|2|0.7491|4842.74|544.814|307.28|639.6753|358.3307|truck
104197837-684996041|h0_004|3|0.7341|148.42|228.9485|325.4392|245.6122|334.3458|car
104197837-684996041|h0_004|4|0.7031|158.55|205.311|326.45|220.9269|336.6028|car
